"Age, year","Mass, kg"
0.098360656,2.037037037
0.491803279,9.814814815
0.540983607,11.48148148
0.655737705,16.48148148
0.639344262,16.48148148
0.655737705,22.77777778
0.770491803,24.62962963
0.819672131,24.62962963
0.819672131,27.40740741
1.06557377,28.7037037
1,32.77777778
1,35.55555556
1.147540984,33.51851852
1.655737705,27.40740741
1.655737705,29.81481481
1.655737705,31.85185185
1.754098361,33.14814815
1.754098361,39.44444444
2,42.22222222
2.032786885,38.7037037
2.491803279,38.14814815
2.573770492,36.2962963
3,30.92592593
2.983606557,36.85185185
3,40.74074074
3.573770492,31.85185185
3.655737705,38.51851852
4.655737705,40
4.819672131,40.92592593
4.819672131,45
4.885245902,40
5,38.7037037
5.491803279,36.2962963
6,51.11111111
6,48.51851852
6,36.48148148
6.491803279,39.62962963
6.803278689,36.48148148
7,35
7.737704918,31.85185185
7.737704918,37.59259259
8,34.62962963
8.737704918,45.74074074
8.983606557,37.03703704
11.98360656,36.2962963
