model,parameter,given,lower_bound,upper_bound,lower_initial_value,upper_initial_value
1,sigma1,,,,,
1,sigma2,,,,,
1,xi1,,0,infty,,
1,xi2,,0,infty,,
1,psi1,,0,infty,,
1,psi2,,0,infty,,
1,psi3,,0,infty,,
1,psi4,,0,infty,,
2,sigma1,,,,,
2,sigma2,,,,,
2,xi1,,0,infty,,
2,xi2,,0,infty,,
2,psi1,,0,infty,,
2,psi2,,0,infty,,
2,psi3,,0,infty,,
2,psi4,,0,infty,,
2,psi5,,0,infty,,
3,sigma1,,,,,
3,sigma2,,,,,
3,xi1,,0,infty,,
3,xi2,,0,infty,,
3,psi1,,0,infty,,
3,psi2,,0,infty,,
3,psi3,,0,infty,,
3,psi4,,0,infty,,
3,psi5,,0,infty,,
4,sigma1,,,,,
4,sigma2,,,,,
4,xi1,,0,infty,,
4,xi2,,0,infty,,
4,psi1,,0,infty,,
4,psi2,,0,infty,,
4,psi3,,0,infty,,
4,psi4,,0,infty,,
4,psi5,,0,infty,,
