theta,value,model,estimated,to_include
sigma1,20.998749038160103,1,1,1
sigma2,44.58194096433163,1,1,1
xi1,20.570170528303144,1,1,1
xi2,18.65845701595076,1,1,1
psi1,0.2087128574735151,1,1,1
psi2,0.013619200555809697,1,1,1
psi3,6.810239466205981,1,1,1
psi4,0.8732418532111773,1,1,1
sigma1,24.068924071101584,2,1,1
sigma2,5.098784801360411,2,1,1
xi1,13.645899672768214,2,1,1
xi2,37.09173766970912,2,1,1
psi1,0.5191187631284133,2,1,1
psi2,0.02423711757257985,2,1,1
psi3,2.7120848605084578,2,1,1
psi4,0.5737643817661492,2,1,1
psi5,26.61216004397427,2,1,1
sigma1,24.379492626826693,3,1,1
sigma2,8.907952550129705,3,1,1
xi1,19.235483481905867,3,1,1
xi2,37.0371133260674,3,1,1
psi1,0.47536492291949767,3,1,1
psi2,0.056667684643702164,3,1,1
psi3,1.7588071490746298,3,1,1
psi4,0.595213971117884,3,1,1
psi5,0.4809419833974205,3,1,1
sigma1,27.538087746417283,4,1,1
sigma2,18.47899416243991,4,1,1
xi1,15.941805897803658,4,1,1
xi2,30.05790264084368,4,1,1
psi1,0.30583198188234056,4,1,1
psi2,0.020479015693418014,4,1,1
psi3,3.1262810319214775,4,1,1
psi4,0.4701336661439587,4,1,1
psi5,0.00663434289942787,4,1,1
